<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20180629;000000;5850.2500000;6299.9900000;5790.0100000;6202.3600000;8356
20180630;000000;6202.3600000;6520.1500000;6185.0000000;6383.1900000;6477
20180701;000000;6383.1900000;6424.1400000;6256.7600000;6349.5000000;3761
20180702;000000;6349.5000000;6669.9900000;6270.0100000;6611.7900000;7850
20180703;000000;6611.7900000;6673.9900000;6465.0000000;6502.6200000;5593
20180704;000000;6502.6200000;6796.6200000;6411.5100000;6587.4700000;6054
20180705;000000;6587.4600000;6700.0000000;6449.5000000;6532.9500000;6684
20180706;000000;6532.9600000;6639.0000000;6452.2000000;6600.0000000;4962
20180707;000000;6599.9900000;6843.2600000;6512.0000000;6753.2800000;3037
20180708;000000;6753.2900000;6778.3100000;6671.0000000;6701.9700000;2895
20180709;000000;6701.9700000;6815.8200000;6625.0000000;6664.0100000;4297
20180710;000000;6664.0100000;6679.4700000;6279.0000000;6303.7000000;7471
20180711;000000;6303.6900000;6400.0000000;6281.0100000;6390.0400000;4591
20180712;000000;6390.0400000;6390.0400000;6075.1600000;6249.7500000;8022
20180713;000000;6246.6800000;6335.0900000;6121.5300000;6216.2900000;5703
20180714;000000;6216.2900000;6323.6800000;6187.0000000;6248.6500000;2856
20180715;000000;6248.6500000;6385.3500000;6233.2600000;6348.7300000;3609
20180716;000000;6348.7300000;6750.0000000;6330.3000000;6728.8100000;8381
20180717;000000;6728.8000000;7472.5000000;6663.5100000;7315.0100000;14936
20180718;000000;7315.0000000;7584.8500000;7229.8900000;7378.9900000;15108
20180719;000000;7378.9900000;7560.4100000;7281.4200000;7470.0100000;9034
20180720;000000;7470.0100000;7687.0000000;7259.7600000;7334.4600000;9908
20180721;000000;7334.4600000;7444.7700000;7204.3200000;7408.0000000;4846
20180722;000000;7408.0000000;7569.6900000;7327.7500000;7397.8000000;5219
20180723;000000;7400.0000000;7809.0000000;7378.2600000;7720.0900000;12050
20180724;000000;7720.0800000;8488.0000000;7695.9900000;8385.5000000;18102
20180725;000000;8390.0400000;8482.8400000;8042.0000000;8157.1500000;14056
20180726;000000;8157.1500000;8290.0000000;7840.0000000;7931.9900000;10032
20180727;000000;7932.0000000;8276.5500000;7787.2900000;8184.2100000;11254
20180728;000000;8182.6400000;8230.0000000;8065.0000000;8228.9000000;3887
20180729;000000;8227.3800000;8289.9600000;8127.8700000;8216.3400000;3739
20180730;000000;8216.3300000;8274.9200000;7850.0000000;8170.0100000;10009
20180731;000000;8170.0000000;8173.5700000;7634.2200000;7727.2700000;11330
20180801;000000;7727.2800000;7750.0000000;7440.0100000;7603.9900000;10643
20180802;000000;7603.9900000;7707.5400000;7462.0000000;7533.9200000;6677
20180803;000000;7533.9200000;7538.5300000;7285.0000000;7414.0800000;10672
20180804;000000;7414.0800000;7495.0000000;6940.0000000;7005.0000000;9650
20180805;000000;7005.0000000;7086.5200000;6880.0000000;7030.0100000;5985
20180806;000000;7030.0000000;7163.0000000;6840.6300000;6938.0000000;8161
20180807;000000;6938.0000000;7152.0000000;6647.0700000;6718.2200000;10470
20180808;000000;6718.2200000;6718.2200000;6121.0400000;6282.5000000;21531
20180809;000000;6282.5000000;6633.2100000;6177.5100000;6546.4500000;13492
20180810;000000;6546.4600000;6584.8000000;6015.0000000;6146.0100000;7122
20180811;000000;6146.0100000;6485.7600000;6003.0000000;6235.5600000;9521
20180812;000000;6236.0000000;6482.0000000;6169.4600000;6316.0100000;7798
20180813;000000;6316.0000000;6544.9900000;6139.5700000;6253.6700000;9978
20180814;000000;6253.6700000;6258.3200000;5900.0000000;6195.0100000;16836
20180815;000000;6195.0000000;6636.0000000;6189.0000000;6269.0100000;16640
20180816;000000;6269.0100000;6475.0100000;6200.0000000;6315.9000000;8663
20180817;000000;6315.9000000;6585.5000000;6290.3900000;6585.4900000;9859
20180818;000000;6585.5000000;6613.2300000;6312.0000000;6396.6400000;6451
20180819;000000;6396.6300000;6547.3400000;6328.4500000;6489.5300000;4106
20180820;000000;6489.5300000;6525.0000000;6227.7100000;6258.7400000;6300
20180821;000000;6258.7400000;6490.0000000;6249.1200000;6475.8900000;6626
20180822;000000;6475.8900000;6890.6500000;6250.0000000;6359.9900000;15769
20180823;000000;6359.9900000;6568.3700000;6348.6900000;6526.3600000;6248
20180824;000000;6526.3600000;6719.0000000;6451.5500000;6690.8800000;6894
20180825;000000;6690.8800000;6790.0000000;6668.0000000;6737.5200000;4647
20180826;000000;6737.5200000;6773.0000000;6572.0000000;6709.9800000;4751
20180827;000000;6709.9800000;6947.6000000;6654.1300000;6911.9000000;5697
20180828;000000;6911.9000000;7128.0000000;6864.9600000;7071.0100000;11364
20180829;000000;7071.0100000;7119.0000000;6907.4200000;7030.9000000;7497
20180830;000000;7030.9200000;7048.6600000;6790.0000000;6983.0000000;8015
20180831;000000;6983.0000000;7090.4600000;6884.4900000;7015.0100000;7572
20180901;000000;7015.0100000;7275.0000000;7010.9800000;7191.0800000;6076
20180902;000000;7191.0700000;7328.3600000;7130.0000000;7295.0000000;5331
20180903;000000;7294.9900000;7332.4600000;7192.9900000;7256.9800000;5587
20180904;000000;7256.4800000;7402.5000000;7229.9400000;7360.0000000;7691
20180905;000000;7359.9900000;7384.0000000;6664.0700000;6687.9600000;14200
20180906;000000;6687.9600000;6703.7300000;6272.7300000;6495.0000000;18340
20180907;000000;6495.0000000;6530.0000000;6325.0000000;6395.0100000;8021
20180908;000000;6395.0100000;6460.0000000;6116.0000000;6188.0000000;7221
20180909;000000;6188.0000000;6450.0000000;6147.0000000;6235.0100000;5553
20180910;000000;6235.0200000;6375.1300000;6221.4900000;6300.0000000;6743
20180911;000000;6300.0000000;6405.0000000;6176.7600000;6282.5300000;7264
20180912;000000;6282.5300000;6340.9400000;6191.1000000;6326.0000000;7172
20180913;000000;6326.0000000;6530.0000000;6323.6400000;6485.9900000;9407
20180914;000000;6485.9900000;6580.0000000;6378.0500000;6478.0400000;7296
20180915;000000;6478.0500000;6565.0000000;6470.0000000;6518.6800000;3225
20180916;000000;6518.6800000;6521.7500000;6323.6800000;6498.0000000;3338
20180917;000000;6498.0000000;6529.7500000;6207.5500000;6250.7000000;9005
20180918;000000;6250.7100000;6384.0400000;6228.0000000;6335.7000000;5907
20180919;000000;6335.6900000;6511.0000000;6106.3700000;6386.9400000;10479
20180920;000000;6386.9500000;6530.0000000;6337.0000000;6493.1100000;6099
20180921;000000;6493.1100000;6777.1000000;6492.5000000;6750.0000000;11061
20180922;000000;6750.0000000;6823.0000000;6628.0100000;6707.3300000;5117
20180923;000000;6707.3400000;6777.0000000;6660.0500000;6696.9900000;3205
20180924;000000;6696.9900000;6716.1600000;6555.9900000;6582.0900000;5173
20180925;000000;6582.0900000;6582.1000000;6320.5000000;6436.8900000;9159
20180926;000000;6435.0000000;6537.2600000;6380.6200000;6455.6600000;5545
20180927;000000;6455.6500000;6734.7900000;6430.0000000;6680.0100000;7519
20180928;000000;6680.0100000;6786.7300000;6528.1300000;6620.0100000;8824
20180929;000000;6620.0100000;6620.0100000;6452.0200000;6581.0000000;4143
20180930;000000;6581.0000000;6642.2800000;6523.0000000;6605.0000000;3408
20181001;000000;6605.0000000;6639.3300000;6474.9000000;6572.8300000;6917
20181002;000000;6572.8300000;6591.3700000;6452.0000000;6498.4600000;5148
20181003;000000;6498.4700000;6507.9500000;6398.9600000;6466.0300000;5895
20181004;000000;6466.0300000;6603.0100000;6454.3800000;6547.4500000;5695
20181005;000000;6547.4500000;6641.0000000;6511.8800000;6593.9400000;2125
20181006;000000;6593.9400000;6594.3900000;6536.0000000;6552.4300000;1176
20181007;000000;6552.4200000;6585.0100000;6491.8100000;6570.0000000;2249
20181008;000000;6569.9900000;6681.1900000;6545.6300000;6608.0700000;5196
20181009;000000;6607.5300000;6612.8600000;6552.5000000;6589.4800000;4379
20181010;000000;6589.4800000;6591.3200000;6445.4800000;6524.5600000;5585
20181011;000000;6524.5600000;6524.5600000;6033.3400000;6154.6900000;20193
20181012;000000;6154.6800000;6235.2000000;6111.9700000;6188.0100000;5268
20181013;000000;6188.0100000;6212.0000000;6178.0000000;6196.0000000;3610
20181014;000000;6196.0100000;6288.4500000;6151.0000000;6183.4900000;3333
20181015;000000;6183.5200000;6810.0000000;6151.5800000;6440.4200000;21003
20181016;000000;6440.4300000;6493.1100000;6375.0000000;6457.1100000;9667
20181017;000000;6457.1000000;6459.9900000;6411.1900000;6443.7000000;5299
20181018;000000;6443.6900000;6489.8300000;6355.0000000;6394.9600000;6994
20181019;000000;6394.9600000;6409.6100000;6353.8600000;6382.9900000;3670
20181020;000000;6382.9900000;6420.0000000;6369.0000000;6414.0000000;3244
20181021;000000;6413.9900000;6452.8700000;6405.5700000;6415.8800000;2339
20181022;000000;6415.8700000;6427.6300000;6377.7700000;6407.6500000;3751
20181023;000000;6407.6400000;6411.5000000;6360.0000000;6395.1400000;3861
20181024;000000;6395.1300000;6471.0000000;6395.1300000;6415.9800000;4980
20181025;000000;6415.9700000;6422.0000000;6377.5000000;6395.5800000;3453
20181026;000000;6395.5800000;6450.0000000;6383.5400000;6404.8700000;3977
20181027;000000;6404.8700000;6421.7600000;6390.0000000;6409.1200000;2191
20181028;000000;6409.1100000;6415.0000000;6380.0100000;6403.6200000;1880
20181029;000000;6403.6300000;6414.9900000;6211.0000000;6266.0000000;6553
20181030;000000;6266.0000000;6289.0000000;6240.5400000;6267.6300000;3834
20181031;000000;6267.6300000;6353.2400000;6201.6700000;6304.1800000;4965
20181101;000000;6304.1800000;6360.0000000;6293.4400000;6344.0000000;4175
20181102;000000;6344.0000000;6378.7700000;6333.9400000;6349.8000000;3970
20181103;000000;6349.8000000;6351.7000000;6315.9100000;6331.9600000;2412
20181104;000000;6331.9600000;6464.1500000;6313.1700000;6423.2800000;3806
20181105;000000;6423.2900000;6439.9900000;6372.0000000;6404.0000000;3773
20181106;000000;6404.0000000;6449.6500000;6387.8200000;6448.5000000;5177
20181107;000000;6448.5000000;6540.0000000;6448.5000000;6503.1200000;5603
20181108;000000;6503.1200000;6511.8800000;6388.0000000;6406.2400000;5083
20181109;000000;6406.2400000;6415.0000000;6305.0000000;6334.8900000;4387
20181110;000000;6334.8900000;6374.0000000;6327.4600000;6347.4200000;2209
20181111;000000;6347.4200000;6360.0000000;6271.1500000;6357.6000000;2144
20181112;000000;6357.6000000;6383.5900000;6305.9500000;6327.8700000;3455
20181113;000000;6327.8700000;6328.2200000;6252.5000000;6259.3400000;4457
20181114;000000;6259.3500000;6293.3800000;5280.9300000;5605.4600000;31805
20181115;000000;5605.0100000;5645.0000000;5188.0000000;5579.5200000;21192
20181116;000000;5579.5000000;5609.9100000;5410.0000000;5512.2400000;8889
20181117;000000;5512.2600000;5544.0000000;5450.8300000;5504.1700000;4551
20181118;000000;5503.3400000;5665.0000000;5503.3400000;5560.0000000;4483
20181119;000000;5560.0000000;5560.0000000;4670.0500000;4733.5000000;39772
20181120;000000;4736.6700000;4889.0000000;4035.0000000;4349.2300000;64689
20181121;000000;4349.2400000;4627.5500000;4239.0100000;4545.1100000;27240
20181122;000000;4545.1200000;4589.0000000;4238.6900000;4265.3600000;11469
20181123;000000;4268.1800000;4366.0500000;4085.7300000;4283.8000000;19141
20181124;000000;4283.8000000;4370.7800000;3650.8400000;3774.9900000;19499
20181125;000000;3775.0000000;4120.0000000;3456.7800000;3936.6900000;37562
20181126;000000;3936.7000000;4076.2500000;3508.0000000;3731.3200000;35226
20181127;000000;3731.0100000;3830.0000000;3562.9000000;3775.0000000;22958
20181128;000000;3775.0100000;4365.0000000;3775.0000000;4225.0300000;34972
20181129;000000;4224.8600000;4414.8900000;4077.8800000;4248.0000000;20097
20181130;000000;4247.9900000;4297.7100000;3869.0000000;3976.0000000;19478
20181201;000000;3976.0100000;4277.0000000;3910.0800000;4142.0100000;10131
20181202;000000;4142.0100000;4266.0000000;4036.0000000;4103.1900000;10704
20181203;000000;4102.8000000;4119.9800000;3741.9500000;3833.4700000;16555
20181204;000000;3833.4700000;4035.1000000;3732.4300000;3901.8400000;16546
20181205;000000;3901.8400000;3912.5300000;3660.0000000;3694.3900000;14303
20181206;000000;3694.3900000;3849.0000000;3401.0000000;3433.2600000;25946
20181207;000000;3433.3000000;3550.0000000;3212.0000000;3380.0100000;37108
20181208;000000;3380.0000000;3495.0000000;3253.6600000;3401.0000000;12799
20181209;000000;3401.0000000;3642.5100000;3367.7900000;3531.1800000;11241
20181210;000000;3531.1800000;3590.7100000;3354.9700000;3410.1500000;13094
20181211;000000;3410.1500000;3424.9200000;3293.4900000;3349.3600000;10723
20181212;000000;3350.2700000;3486.1600000;3325.5800000;3430.2400000;10012
20181213;000000;3430.2400000;3439.6300000;3227.9600000;3265.0000000;13655
20181214;000000;3265.0000000;3294.9000000;3135.0000000;3195.7100000;13735
20181215;000000;3195.7100000;3228.6900000;3128.8900000;3183.0000000;8755
20181216;000000;3183.0100000;3258.0000000;3181.2400000;3195.0000000;6821
20181217;000000;3194.9900000;3585.9500000;3184.2800000;3496.8200000;21146
20181218;000000;3497.1000000;3688.0000000;3436.5000000;3667.7700000;15042
20181219;000000;3667.7600000;3928.1500000;3637.1700000;3715.2100000;27601
20181220;000000;3682.5100000;4175.0000000;3661.5000000;4075.3400000;29786
20181221;000000;4075.3300000;4162.2700000;3775.0000000;3839.0600000;22960
20181222;000000;3839.2600000;4005.0000000;3790.1600000;3980.4600000;8777
20181223;000000;3981.2400000;4050.0000000;3903.6000000;3944.9300000;9727
20181224;000000;3944.9200000;4239.3700000;3944.9200000;4034.0000000;19280
20181225;000000;4034.0000000;4045.4100000;3675.8600000;3780.0000000;13273
20181226;000000;3780.0000000;3849.2000000;3685.0200000;3809.8800000;8826
20181227;000000;3809.8800000;3841.2100000;3567.0000000;3589.8900000;12926
20181228;000000;3589.8900000;3971.5800000;3576.1200000;3888.0600000;16390
20181229;000000;3887.5800000;3944.3300000;3706.0000000;3729.3100000;8151
20181230;000000;3729.3100000;3863.0600000;3691.0100000;3829.0000000;8269
20181231;000000;3829.0000000;3835.4000000;3625.0000000;3691.8600000;12099
